,title,Release date,Rotten Tomatoes,Internet Movie Database,Metacritic
131,A Tale of Two Critters,1977-06-20,0,6.1,0
132,The Rescuers,1977-06-22,81,6.9,74
133,Herbie Goes to Monte Carlo,1977-06-24,60,5.6,38
134,Pete's Dragon,1977-11-03,56,6.3,46
135,Candleshoe,,0,0,0
136,Return from Witch Mountain,1978-03-10,45,5.7,51
137,The Cat from Outer Space,1978-06-30,67,6.0,58
138,Hot Lead and Cold Feet,,0,0,0
139,The North Avenue Irregulars,,0,0,0
140,The Apple Dumpling Gang Rides Again,1979-06-27,0,6.0,37
141,Unidentified Flying Oddball,,0,0,0
142,The Black Hole,,0,0,0
143,Midnight Madness,1980-02-08,0,6.3,28
144,The Watcher in the Woods,,0,0,0
145,Herbie Goes Bananas,1980-06-27,40,5.0,55
146,The Last Flight of Noah's Ark,1980-07-09,40,5.7,0
147,Popeye,,0,0,0
148,The Devil and Max Devlin,,0,0,0
149,Amy,,0,0,0
150,Dragonslayer,1981-06-26,82,6.6,68
151,The Fox and the Hound,1981-07-10,70,7.2,65
152,Condorman,1981-08-07,27,5.7,46
153,Night Crossing,1982-02-05,80,6.5,0
154,Tron,1982-07-09,71,6.8,58
155,Tex,,0,0,0
156,Trenchcoat,1983-03-11,0,5.3,0
157,Something Wicked This Way Comes,1983-04-29,61,6.7,0
158,Never Cry Wolf,,0,0,0
159,Return to Oz,1985-06-21,54,6.8,42
160,The Black Cauldron,1985-07-24,55,6.4,59
161,The Journey of Natty Gann,1985-09-27,91,7.0,66
162,One Magic Christmas,1985-11-22,47,6.5,0
163,The Great Mouse Detective,1986-07-02,80,7.2,73
164,Flight of the Navigator,1986-08-01,84,6.9,64
165,Benji the Hunted,1987-06-05,55,6.2,53
166,The Man from Snowy River II,,0,0,0
167,Oliver & Company,1988-11-18,50,6.6,58
168,"Honey, I Shrunk the Kids",1989-06-23,77,6.4,63
169,Cheetah,,0,0,0
170,The Little Mermaid,1989-11-17,93,7.6,88
171,DuckTales the Movie: Treasure of the Lost Lamp,1990-08-03,88,6.8,0
172,The Rescuers Down Under,1990-11-16,71,6.8,70
173,White Fang,1991-01-18,65,6.7,62
174,Shipwrecked,,0,0,0
175,Wild Hearts Can't Be Broken,1991-05-24,73,7.2,0
176,The Rocketeer,1991-06-21,66,6.5,61
177,Beauty and the Beast,,0,0,0
178,Newsies,1992-04-10,39,6.9,46
179,"Honey, I Blew Up the Kid",1992-07-17,40,4.8,50
180,The Mighty Ducks,1992-10-02,21,6.5,46
181,Aladdin,1992-11-11,95,8.1,86
182,The Muppet Christmas Carol,1992-12-11,75,7.7,64
183,Homeward Bound: The Incredible Journey,,0,0,0
184,A Far Off Place,1993-03-12,45,6.5,0
185,The Adventures of Huck Finn,1993-04-02,73,6.2,0
186,Hocus Pocus,1993-07-16,38,6.9,43
187,Cool Runnings,1993-10-01,76,7.0,60
188,The Three Musketeers,1993-11-12,28,6.4,43
189,Iron Will,1994-01-14,67,6.6,56
190,Blank Check,1994-02-11,9,5.3,42
191,D2: The Mighty Ducks,1994-03-25,21,6.1,0
192,White Fang 2: Myth of the White Wolf,1994-04-14,71,5.4,0
193,The Lion King,1994-06-15,93,8.5,88
194,Angels in the Outfield,1994-07-15,32,6.2,44
195,Squanto: A Warrior's Tale,1994-10-28,60,6.0,0
196,The Santa Clause,1994-11-11,73,6.5,57
197,Rudyard Kipling's The Jungle Book,1994-12-25,0,7.1,0
198,Heavyweights,1995-02-17,29,6.6,42
199,Man of the House,1995-03-03,14,5.2,0
200,Tall Tale,1995-03-24,48,5.9,0
201,A Goofy Movie,1995-04-07,61,6.9,0
202,Pocahontas,,0,0,0
203,Operation Dumbo Drop,1995-07-28,31,5.1,48
